IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.149.177.121,80,80,false,SIN,Asia Pacific,SG,Singapore,157,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,157,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,159,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,160,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,161,0.00
34.49.82.120,80,80,false,SIN,Asia Pacific,SG,Singapore,162,0.00
35.187.41.171,2083,80,false,CDG,Europe,FR,Paris,162,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,162,0.00
34.141.248.249,2052,80,false,AMS,Europe,NL,Amsterdam,163,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,163,0.00
34.141.221.33,2096,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,164,0.00
34.49.199.30,80,80,false,SIN,Asia Pacific,SG,Singapore,164,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,166,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,166,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,166,0.00
34.105.124.126,80,80,false,SEA,North America,US,Seattle,167,0.00
34.141.221.33,2083,80,false,AMS,Europe,NL,Amsterdam,168,0.00
34.141.221.33,2095,80,false,AMS,Europe,NL,Amsterdam,170,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,170,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,170,0.00
34.141.221.33,2052,80,false,AMS,Europe,NL,Amsterdam,171,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,176,0.00
34.141.248.249,2053,80,false,AMS,Europe,NL,Amsterdam,178,0.00
34.105.124.126,80,80,false,SEA,North America,US,Seattle,178,0.00
34.141.248.249,2083,80,false,AMS,Europe,NL,Amsterdam,179,0.00
35.200.100.7,8080,80,false,NRT,Asia Pacific,JP,Tokyo,180,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,182,0.00
34.141.221.33,2053,80,false,AMS,Europe,NL,Amsterdam,184,0.00
34.141.221.33,2082,80,false,AMS,Europe,NL,Amsterdam,194,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,200,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,204,0.00
35.232.39.116,80,80,false,DFW,North America,US,Dallas,206,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,207,0.00
34.141.248.249,2096,80,false,AMS,Europe,NL,Amsterdam,213,0.00
35.188.87.85,80,8080,false,ORD,North America,US,Chicago,213,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,217,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,218,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,219,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,219,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,219,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,220,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,221,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,222,0.00
104.196.221.253,80,80,false,IAD,North America,US,Ashburn,223,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,231,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,235,0.00
35.184.226.235,80,80,false,ORD,North America,US,Chicago,237,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,238,0.00
34.141.221.33,2086,80,false,AMS,Europe,NL,Amsterdam,240,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,242,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,242,0.00
34.141.248.249,2086,80,false,AMS,Europe,NL,Amsterdam,242,0.00
34.141.248.249,2082,80,false,AMS,Europe,NL,Amsterdam,244,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,247,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,250,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,253,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,263,0.00
35.200.100.7,8080,80,false,NRT,Asia Pacific,JP,Tokyo,264,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,265,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,267,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,271,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,272,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,273,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,273,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,278,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,280,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,280,0.00
34.141.248.249,2095,80,false,AMS,Europe,NL,Amsterdam,280,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,282,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,282,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,286,0.00
35.247.124.181,80,80,false,SEA,North America,US,Seattle,290,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,291,0.00
34.105.124.126,80,80,false,SEA,North America,US,Seattle,304,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,304,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,382,0.00
